X,Y,Name,id,alt_name,latitude,longitude,name2
97.0253,4.36855,ACEH,11,ACEH,4.36855,97.0253,ACEH
99.38122,2.19235,SUMATERA UTARA,12,SUMATERA UTARA,2.19235,99.38122,SUMATERA UTARA
100.4647402,-0.9605488,SUMATERA BARAT,13,SUMATERA BARAT,-0.9605488,100.4647402,SUMATERA BARAT
101.54758,0.50041,RIAU,14,RIAU,0.50041,101.54758,RIAU
102.7797,-1.61157,JAMBI,15,JAMBI,-1.61157,102.7797,JAMBI
104.09306,-3.12668,SUMATERA SELATAN,16,SUMATERA SELATAN,-3.12668,104.09306,SUMATERA SELATAN
102.53598,-3.51868,BENGKULU,17,BENGKULU,-3.51868,102.53598,BENGKULU
105.0273,-4.8555,LAMPUNG,18,LAMPUNG,-4.8555,105.0273,LAMPUNG
107.58394,-2.75775,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,-2.75775,107.58394,KEPULAUAN BANGKA BELITUNG
104.58037,-0.15478,KEPULAUAN RIAU,21,KEPULAUAN RIAU,-0.15478,104.58037,KEPULAUAN RIAU
